,playerID,yearID,G,R,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,pos,avg
9,aaronha01,1954,122,58,27,6,13,69.0,2.0,2.0,28,39.0,0.0,3.0,6.0,4.0,13.0,OF,0.2799145299145299
10,aaronha01,1955,153,105,37,9,27,106.0,3.0,1.0,49,61.0,5.0,3.0,7.0,4.0,20.0,OF,0.313953488372093
11,aaronha01,1956,153,106,34,14,26,92.0,2.0,4.0,37,54.0,6.0,2.0,5.0,7.0,21.0,OF,0.3284072249589491
12,aaronha01,1957,151,118,27,6,44,132.0,1.0,1.0,57,58.0,15.0,0.0,0.0,3.0,13.0,OF,0.32195121951219513
13,aaronha01,1958,153,109,34,4,30,95.0,4.0,1.0,59,49.0,16.0,1.0,0.0,3.0,21.0,OF,0.3261231281198003
14,aaronha01,1959,154,116,46,7,39,123.0,8.0,0.0,51,54.0,17.0,4.0,0.0,9.0,19.0,OF,0.35453100158982515
15,aaronha01,1960,153,102,20,11,40,126.0,16.0,7.0,60,63.0,13.0,2.0,0.0,12.0,8.0,OF,0.29152542372881357
114,abbotku01,1994,101,41,17,3,9,33.0,3.0,0.0,16,98.0,1.0,5.0,3.0,2.0,5.0,SS,0.2492753623188406
115,abbotku01,1995,120,60,18,7,17,60.0,4.0,3.0,36,110.0,4.0,5.0,2.0,5.0,6.0,SS,0.25476190476190474
116,abbotku01,1996,109,37,18,7,8,33.0,3.0,3.0,22,99.0,1.0,3.0,4.0,0.0,7.0,SS,0.253125
117,abbotku01,1997,94,35,18,2,6,30.0,3.0,1.0,14,68.0,3.0,1.0,6.0,0.0,5.0,SS,0.27380952380952384
118,abbotku01,1998,77,26,13,1,5,24.0,2.0,1.0,12,53.0,0.0,2.0,1.0,3.0,5.0,SS,0.26288659793814434
119,abbotku01,1999,96,41,17,2,8,41.0,3.0,2.0,16,69.0,0.0,0.0,2.0,1.0,4.0,SS,0.2727272727272727
120,abbotku01,2000,79,22,7,1,6,12.0,1.0,1.0,14,51.0,2.0,1.0,0.0,1.0,2.0,SS,0.21656050955414013
195,abreubo01,1997,59,22,10,2,3,26.0,7.0,2.0,21,48.0,0.0,1.0,0.0,0.0,0.0,OF,0.25
196,abreubo01,1998,151,68,29,6,17,74.0,19.0,10.0,84,133.0,14.0,0.0,4.0,4.0,6.0,OF,0.3118712273641851
197,abreubo01,1999,152,118,35,11,20,93.0,27.0,9.0,109,113.0,8.0,3.0,0.0,4.0,13.0,OF,0.33516483516483514
198,abreubo01,2000,154,103,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,OF,0.3159722222222222
199,abreubo01,2001,162,118,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,OF,0.2891156462585034
200,abreubo01,2002,157,102,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,OF,0.3076923076923077
201,abreubo01,2003,158,99,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,OF,0.29982668977469673
311,adairje01,1961,133,41,21,1,9,37.0,5.0,2.0,35,51.0,4.0,2.0,1.0,4.0,6.0,2B,0.26424870466321243
312,adairje01,1962,139,67,29,4,11,48.0,7.0,7.0,27,77.0,1.0,2.0,4.0,3.0,15.0,2B,0.2843866171003718
313,adairje01,1963,109,34,21,3,6,30.0,3.0,3.0,9,51.0,2.0,2.0,3.0,5.0,17.0,2B,0.22774869109947643
314,adairje01,1964,155,56,20,3,9,47.0,3.0,2.0,28,72.0,10.0,1.0,4.0,3.0,20.0,2B,0.2478031634446397
315,adairje01,1965,157,51,26,3,7,66.0,6.0,4.0,35,65.0,7.0,2.0,4.0,2.0,26.0,2B,0.25945017182130586
316,adairje01,1966,122,30,19,2,4,39.0,3.0,2.0,21,52.0,0.0,1.0,10.0,6.0,15.0,2B,0.24881516587677724
317,adairje01,1967,117,47,17,1,3,35.0,1.0,5.0,17,52.0,0.0,3.0,6.0,3.0,15.0,2B,0.27053140096618356
366,adamsbo03,1946,94,35,13,3,4,24.0,16.0,0.0,18,32.0,0.0,3.0,14.0,0.0,7.0,3B,0.24437299035369775
367,adamsbo03,1947,81,39,11,2,4,20.0,9.0,0.0,25,23.0,0.0,4.0,7.0,0.0,2.0,3B,0.271889400921659
368,adamsbo03,1948,87,33,20,3,1,21.0,6.0,0.0,25,23.0,0.0,1.0,7.0,0.0,5.0,3B,0.29770992366412213
